condition_group,matrix_name,ecm_program,metric,observed_value,random_mean,random_std,z_score_vs_random,empirical_p_higher_is_better,n_random_repeats,n_program_genes
normal_like,mean_log_nsaf,Hepatic/plasma-associated ECM,variance_tissue_score,1.0026554601530067,1.8697486026964745,1.0996441205566503,-0.7885216010653858,0.835506519558676,1000,32
normal_like,mean_log_nsaf,Reproductive-specialized ECM,mean_tissue_score,2.8299813297313015,2.0044641815126005,0.956072646266726,0.8634460482079281,0.16937119675456389,1000,23
normal_like,mean_log_nsaf,Reproductive-specialized ECM,max_tissue_score,3.994218576185927,4.3477382204091555,1.1497559957440795,-0.3074736253012038,0.5811359026369168,1000,23
normal_like,mean_log_nsaf,Reproductive-specialized ECM,top3_mean_tissue_score,3.7023160511245847,3.1315391543852504,1.0691470890148271,0.533861900391349,0.2515212981744422,1000,23
normal_like,mean_log_nsaf,Reproductive-specialized ECM,variance_tissue_score,0.9549369720686588,2.333315472236897,1.4210418234627076,-0.9699774330423927,0.8975659229208925,1000,23
disease_like,mean_log_nsaf,Vascular/stromal/interstitial ECM,mean_tissue_score,3.6530072830786713,1.8411916369393666,0.6341913375758558,2.856891191647021,0.008991008991008992,1000,44
disease_like,mean_log_nsaf,Vascular/stromal/interstitial ECM,max_tissue_score,5.581637222708179,3.7551953136682115,0.8687895835920997,2.1022833877546687,0.026973026973026972,1000,44
disease_like,mean_log_nsaf,Vascular/stromal/interstitial ECM,top3_mean_tissue_score,4.954325457127985,3.142886455783211,0.7706128759737199,2.3506472027941427,0.02097902097902098,1000,44
disease_like,mean_log_nsaf,Vascular/stromal/interstitial ECM,variance_tissue_score,1.413218688751304,1.3664982704513464,0.6667359811206818,0.07007334180679396,0.3786213786213786,1000,44
disease_like,mean_log_nsaf,Epithelial/mucosal basement membrane ECM,mean_tissue_score,2.7121456052738124,1.8733581274236146,0.553940142323354,1.5142204252107958,0.058941058941058944,1000,56
disease_like,mean_log_nsaf,Epithelial/mucosal basement membrane ECM,max_tissue_score,4.464092032223969,3.7000465250518673,0.7497236488147315,1.01910284993679,0.15584415584415584,1000,56
disease_like,mean_log_nsaf,Epithelial/mucosal basement membrane ECM,top3_mean_tissue_score,4.126315333332367,3.1260036533598963,0.6636774493197439,1.5072256575807572,0.07492507492507493,1000,56
disease_like,mean_log_nsaf,Epithelial/mucosal basement membrane ECM,variance_tissue_score,1.4850973408927484,1.245656460685808,0.49920740976251315,0.47964207967355493,0.26673326673326675,1000,56
disease_like,mean_log_nsaf,CNS/neural ECM,mean_tissue_score,2.234440823043741,1.8817650721977335,0.7678827748411566,0.45928332084146767,0.2882882882882883,1000,30
disease_like,mean_log_nsaf,CNS/neural ECM,max_tissue_score,4.853327830552013,4.058741444782125,1.0358091107221614,0.7671166217257017,0.21121121121121122,1000,30
disease_like,mean_log_nsaf,CNS/neural ECM,top3_mean_tissue_score,4.6215563863764375,3.3241963527213296,0.932738525207703,1.390915029875292,0.09109109109109109,1000,30
disease_like,mean_log_nsaf,CNS/neural ECM,variance_tissue_score,3.8955495293905336,1.6979514407257836,0.9866776156402887,2.227270644260693,0.024024024024024024,1000,30
disease_like,mean_log_nsaf,Retinal/sensory ECM,mean_tissue_score,2.469122738070494,1.8417750678468496,0.5803764316956311,1.0809323672754627,0.14985014985014986,1000,47
disease_like,mean_log_nsaf,Retinal/sensory ECM,max_tissue_score,5.389841978982817,3.7362124029192816,0.8179990225068919,2.021554464693267,0.027972027972027972,1000,47
disease_like,mean_log_nsaf,Retinal/sensory ECM,top3_mean_tissue_score,5.027481046154755,3.136353425451759,0.704194117740861,2.685520331765849,0.00999000999000999,1000,47
disease_like,mean_log_nsaf,Retinal/sensory ECM,variance_tissue_score,4.02652636370417,1.3405372492715952,0.5782437637301004,4.645080989902868,0.002997002997002997,1000,47
disease_like,mean_log_nsaf,Immune/lymphoid remodeling ECM,mean_tissue_score,2.622853845950313,1.8638868202549985,0.6430941917095088,1.180180190521992,0.1108891108891109,1000,41
disease_like,mean_log_nsaf,Immune/lymphoid remodeling ECM,max_tissue_score,4.39918279220116,3.7945511623811328,0.8713862635186633,0.6938732627922332,0.23876123876123875,1000,41
disease_like,mean_log_nsaf,Immune/lymphoid remodeling ECM,top3_mean_tissue_score,4.031364574178258,3.1796902476702535,0.7697856404973481,1.106378557487444,0.13586413586413587,1000,41
disease_like,mean_log_nsaf,Immune/lymphoid remodeling ECM,variance_tissue_score,1.6567714453363889,1.384608412949094,0.6724093179889865,0.4047579727200517,0.25674325674325676,1000,41
disease_like,mean_log_nsaf,Stromal remodeling ECM,mean_tissue_score,3.233417876135556,1.8604081779574975,1.1984378949210142,1.1456661242079214,0.11074918566775244,1000,13
disease_like,mean_log_nsaf,Stromal remodeling ECM,max_tissue_score,4.8470084100237125,4.787412915744893,1.4061284900512594,0.042382680317249656,0.499457111834962,1000,13
disease_like,mean_log_nsaf,Stromal remodeling ECM,top3_mean_tissue_score,4.241848420928961,3.61008779303969,1.4581870504770638,0.43325074631720456,0.2985884907709012,1000,13
disease_like,mean_log_nsaf,Stromal remodeling ECM,variance_tissue_score,1.0772632126165569,2.803711246473532,1.8525245698210824,-0.931943393346581,0.8827361563517915,1000,13
disease_like,mean_log_nsaf,Renal/endothelial basement membrane ECM,mean_tissue_score,2.189119587523249,1.8361988192363052,1.03862503600793,0.3397961305106161,0.29732510288065844,1000,18
disease_like,mean_log_nsaf,Renal/endothelial basement membrane ECM,max_tissue_score,4.307213977349159,4.515933569778426,1.2821856051053988,-0.16278422686870642,0.5565843621399177,1000,18
disease_like,mean_log_nsaf,Renal/endothelial basement membrane ECM,top3_mean_tissue_score,4.149172313822006,3.454659716722649,1.2731581646480046,0.5455037845131924,0.2726337448559671,1000,18
disease_like,mean_log_nsaf,Renal/endothelial basement membrane ECM,variance_tissue_score,2.430591816978503,2.339634639563318,1.5684763725690776,0.05799078583899985,0.338477366255144,1000,18
disease_like,mean_log_nsaf,Hepatic/plasma-associated ECM,mean_tissue_score,3.1094234422236986,1.852767479036175,0.7575602127234666,1.6588199090733435,0.05215646940822467,1000,32
disease_like,mean_log_nsaf,Hepatic/plasma-associated ECM,max_tissue_score,5.144608138068917,3.9734679529975483,1.0007155770038116,1.170302743340737,0.119358074222668,1000,32
disease_like,mean_log_nsaf,Hepatic/plasma-associated ECM,top3_mean_tissue_score,4.934465790356609,3.251995143355709,0.889790609953061,1.8908613197094257,0.044132397191574725,1000,32
disease_like,mean_log_nsaf,Hepatic/plasma-associated ECM,variance_tissue_score,2.6799559859793884,1.581395151115545,0.8207820511195324,1.3384318448063348,0.08425275827482448,1000,32
disease_like,mean_log_nsaf,Reproductive-specialized ECM,mean_tissue_score,2.8706887803847803,1.8020654899557826,0.8478017805487665,1.260463607114976,0.11967545638945233,1000,23
disease_like,mean_log_nsaf,Reproductive-specialized ECM,max_tissue_score,5.075039022725739,4.235122499645578,1.2069750753843036,0.6958855573821445,0.2565922920892495,1000,23
disease_like,mean_log_nsaf,Reproductive-specialized ECM,top3_mean_tissue_score,4.5920782534076965,3.3604732250318423,1.0722341149997483,1.1486344364039776,0.1308316430020284,1000,23
disease_like,mean_log_nsaf,Reproductive-specialized ECM,variance_tissue_score,2.0605577285480994,2.0359979967987925,1.3267774772529497,0.018510814488769817,0.35598377281947263,1000,23
uncertain,mean_log_nsaf,Vascular/stromal/interstitial ECM,mean_tissue_score,2.6642386226238965,1.2662152821404684,0.28634792878036036,4.882254069159916,0.000999000999000999,1000,44
uncertain,mean_log_nsaf,Vascular/stromal/interstitial ECM,max_tissue_score,4.898843550014835,4.482243458183481,0.3582496057253128,1.1628766233752152,0.11288711288711288,1000,44
uncertain,mean_log_nsaf,Vascular/stromal/interstitial ECM,top3_mean_tissue_score,3.9899979735003153,2.4281612281492944,0.3269768238777969,4.776597701416097,0.000999000999000999,1000,44
uncertain,mean_log_nsaf,Vascular/stromal/interstitial ECM,variance_tissue_score,1.7588397389940131,1.7203873020829459,0.31251901480508887,0.12304031143528717,0.4325674325674326,1000,44
uncertain,mean_log_nsaf,Epithelial/mucosal basement membrane ECM,mean_tissue_score,2.4669691751935887,1.251502237636758,0.23982481930712948,5.06814491122478,0.000999000999000999,1000,56
uncertain,mean_log_nsaf,Epithelial/mucosal basement membrane ECM,max_tissue_score,5.170227550699768,4.496481447729067,0.3030760803643601,2.223026317882687,0.002997002997002997,1000,56
uncertain,mean_log_nsaf,Epithelial/mucosal basement membrane ECM,top3_mean_tissue_score,3.949929482432141,2.3987191228463054,0.28042372000176297,5.531666007340903,0.000999000999000999,1000,56
uncertain,mean_log_nsaf,Epithelial/mucosal basement membrane ECM,variance_tissue_score,1.8655070478529923,1.7071689463607032,0.25202919234673715,0.6282530210803932,0.2787212787212787,1000,56
uncertain,mean_log_nsaf,CNS/neural ECM,mean_tissue_score,1.378289240915094,1.2641816346577195,0.3458114840754966,0.329970551910482,0.33766233766233766,1000,30
uncertain,mean_log_nsaf,CNS/neural ECM,max_tissue_score,4.909174688481415,4.500768398727022,0.429317964985519,0.9512909383332441,0.16783216783216784,1000,30
uncertain,mean_log_nsaf,CNS/neural ECM,top3_mean_tissue_score,2.9869058069250323,2.468016487722857,0.4100442943110636,1.2654469929254535,0.1068931068931069,1000,30
uncertain,mean_log_nsaf,CNS/neural ECM,variance_tissue_score,2.4152344561008383,1.7952690657681556,0.36830602006976726,1.683288777672557,0.04995004995004995,1000,30
uncertain,mean_log_nsaf,Retinal/sensory ECM,mean_tissue_score,1.5994147216994112,1.249626834746779,0.2671457058795811,1.309352459179348,0.1038961038961039,1000,47
uncertain,mean_log_nsaf,Retinal/sensory ECM,max_tissue_score,5.368409179888358,4.5075701319538535,0.33500626960504787,2.5696207087389196,0.000999000999000999,1000,47
uncertain,mean_log_nsaf,Retinal/sensory ECM,top3_mean_tissue_score,3.295116294081947,2.409083842845879,0.3119313494129031,2.8404726004734706,0.006993006993006993,1000,47
uncertain,mean_log_nsaf,Retinal/sensory ECM,variance_tissue_score,2.760305734604117,1.7399534043138682,0.2931444509982906,3.480715145094793,0.000999000999000999,1000,47
