representation_family,model,label_col,n_representations,representations,accuracy_family_mean,accuracy_family_std,accuracy_family_min,accuracy_family_max,balanced_accuracy_family_mean,balanced_accuracy_family_std,balanced_accuracy_family_min,balanced_accuracy_family_max,macro_f1_family_mean,macro_f1_family_std,macro_f1_family_min,macro_f1_family_max,weighted_f1_family_mean,weighted_f1_family_std,weighted_f1_family_min,weighted_f1_family_max
random_matrisome,tabicl,tissue,10,random_matrisome_programs_r1; random_matrisome_programs_r10; random_matrisome_programs_r2; random_matrisome_programs_r3; random_matrisome_programs_r4; random_matrisome_programs_r5; random_matrisome_programs_r6; random_matrisome_programs_r7; random_matrisome_programs_r8; random_matrisome_programs_r9,0.9047771836007129,0.010494708769285809,0.8916221033868093,0.9252355487649606,0.8625228385035904,0.015910632610016094,0.843380534408468,0.8890146678125863,0.8723080695807868,0.014438518583524044,0.8548534697434104,0.895424226144336,0.9032921510979095,0.01047132893816624,0.8891851683145606,0.9229912986441718
random_non_ecm,tabicl,tissue,10,random_non_ecm_programs_r1; random_non_ecm_programs_r10; random_non_ecm_programs_r2; random_non_ecm_programs_r3; random_non_ecm_programs_r4; random_non_ecm_programs_r5; random_non_ecm_programs_r6; random_non_ecm_programs_r7; random_non_ecm_programs_r8; random_non_ecm_programs_r9,0.6806875477463713,0.025680108285374908,0.6341227400050929,0.7204481792717088,0.5664347494317503,0.030752791090071393,0.5014385607302991,0.6049912723011845,0.5783156181805473,0.03145308488985014,0.5101716008678768,0.6171582493375339,0.6687815672463968,0.026387917132937852,0.6193819361014695,0.7102984596744195
matrisome_pca,tabnet,tissue,1,matrisome_pca9,0.9541634835752483,0.0,0.9541634835752483,0.9541634835752483,0.9502843482055485,0.0,0.9502843482055485,0.9502843482055485,0.9408609296753502,0.0,0.9408609296753502,0.9408609296753502,0.9548090918900595,0.0,0.9548090918900595,0.9548090918900595
curated_ecm,tabnet,tissue,1,curated_9_ecm_programs,0.9214158390628979,0.0,0.9214158390628979,0.9214158390628979,0.9079300989119272,0.0,0.9079300989119272,0.9079300989119272,0.8950718723525253,0.0,0.8950718723525253,0.8950718723525253,0.9230584935893095,0.0,0.9230584935893095,0.9230584935893095
random_matrisome,tabnet,tissue,10,random_matrisome_programs_r1; random_matrisome_programs_r10; random_matrisome_programs_r2; random_matrisome_programs_r3; random_matrisome_programs_r4; random_matrisome_programs_r5; random_matrisome_programs_r6; random_matrisome_programs_r7; random_matrisome_programs_r8; random_matrisome_programs_r9,0.8675528393175451,0.01232042967966399,0.8496562261268144,0.8935574229691877,0.8449624218484061,0.014695756835711886,0.8243507806910347,0.8693019391968339,0.8260835168844072,0.017161566724528805,0.8030572002694942,0.853618120980465,0.8702765613402276,0.01215593260365951,0.8533633199228599,0.8959840323953957
random_non_ecm,tabnet,tissue,10,random_non_ecm_programs_r1; random_non_ecm_programs_r10; random_non_ecm_programs_r2; random_non_ecm_programs_r3; random_non_ecm_programs_r4; random_non_ecm_programs_r5; random_non_ecm_programs_r6; random_non_ecm_programs_r7; random_non_ecm_programs_r8; random_non_ecm_programs_r9,0.5907002801120448,0.031046085812547485,0.5351667939903234,0.6390628978864272,0.5611699587038894,0.030286585790619658,0.5019169143430342,0.5989364903052555,0.5211196586465603,0.029700915307295787,0.46318077683387526,0.5599554960213918,0.6067627619055147,0.028101549904226183,0.5600741299857287,0.6523883132812431
matrisome_pca,xgboost,tissue,1,matrisome_pca9,0.9533995416348358,0.0,0.9533995416348358,0.9533995416348358,0.9382715585642417,0.0,0.9382715585642417,0.9382715585642417,0.9362460002654934,0.0,0.9362460002654934,0.9362460002654934,0.9536196958731715,0.0,0.9536196958731715,0.9536196958731715
curated_ecm,xgboost,tissue,1,curated_9_ecm_programs,0.9065444359562006,0.0,0.9065444359562006,0.9065444359562006,0.8807560214098569,0.0,0.8807560214098569,0.8807560214098569,0.8703863592441315,0.0,0.8703863592441315,0.8703863592441315,0.9085107182961988,0.0,0.9085107182961988,0.9085107182961988
random_matrisome,xgboost,tissue,10,random_matrisome_programs_r1; random_matrisome_programs_r10; random_matrisome_programs_r2; random_matrisome_programs_r3; random_matrisome_programs_r4; random_matrisome_programs_r5; random_matrisome_programs_r6; random_matrisome_programs_r7; random_matrisome_programs_r8; random_matrisome_programs_r9,0.8571632289279348,0.01374120319320268,0.8379933791698496,0.8829640947288006,0.8319969740030091,0.014526598275059395,0.8071847813932033,0.853838581792191,0.8155969955374591,0.016948280535160017,0.7901057676883616,0.8435473546080784,0.8596228222430666,0.01352590917221988,0.8411124894837998,0.8854248213160396
random_non_ecm,xgboost,tissue,10,random_non_ecm_programs_r1; random_non_ecm_programs_r10; random_non_ecm_programs_r2; random_non_ecm_programs_r3; random_non_ecm_programs_r4; random_non_ecm_programs_r5; random_non_ecm_programs_r6; random_non_ecm_programs_r7; random_non_ecm_programs_r8; random_non_ecm_programs_r9,0.6186198115609881,0.03021996734655203,0.5700534759358289,0.6726763432645786,0.5905052104646504,0.02974551185379819,0.5350554756025151,0.6324584388694637,0.5490471828670578,0.029740772769862495,0.49524604952922735,0.5938419652309304,0.6290718811993742,0.028630775529338043,0.5852324764352158,0.6823062682218797
