representation,representation_family,representation_kind,model,label_col,n_folds,mean_n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
random_non_ecm_programs_r5,random_non_ecm,gene_set_scores,extra_trees,tissue,5,9.0,0.672217978100331,0.005841145348332492,0.5856723106397785,0.008345469611288568,0.5799646186195264,0.007125270524070986,0.6649664894904801,0.006546705129962279
random_non_ecm_programs_r6,random_non_ecm,gene_set_scores,extra_trees,tissue,5,9.0,0.6881588999236058,0.006631790500904739,0.5822881566599578,0.007590421920710172,0.5692026703270378,0.008464836549845036,0.6774133105198171,0.00785801639938368
random_non_ecm_programs_r10,random_non_ecm,gene_set_scores,extra_trees,tissue,5,9.0,0.6639164756811816,0.005045359552250783,0.5768470038371964,0.006284151988464157,0.5628192057666987,0.004726810297444493,0.6499129133273926,0.00480809616612053
random_non_ecm_programs_r2,random_non_ecm,gene_set_scores,extra_trees,tissue,5,9.0,0.6629997453526866,0.0038940228884370297,0.5627817811027,0.00968657073697352,0.5510340255317422,0.007649652356143532,0.6549672232189779,0.003797768172896866
random_non_ecm_programs_r3,random_non_ecm,gene_set_scores,extra_trees,tissue,5,9.0,0.6418640183346066,0.004044325275496184,0.5558304302253275,0.010911972029916391,0.5521584889583389,0.010384520335731416,0.6342353013227526,0.004159461160163687
random_non_ecm_programs_r7,random_non_ecm,gene_set_scores,extra_trees,tissue,5,9.0,0.6363127069009422,0.006970827765101741,0.5420339097845639,0.007319129676551155,0.5342235962517496,0.00787296485678887,0.6308324914348181,0.007145581453110576
random_non_ecm_programs_r1,random_non_ecm,gene_set_scores,extra_trees,tissue,5,9.0,0.6231219760631526,0.00274736011393148,0.5307936270456336,0.007707783277251557,0.5208810729003565,0.006980299770706221,0.6159971878784196,0.00299973038489155
random_non_ecm_programs_r9,random_non_ecm,gene_set_scores,extra_trees,tissue,5,9.0,0.6071810542398778,0.00285659356503799,0.509894052080065,0.0032236226767048135,0.4992185166463445,0.0031714090997896154,0.6017423705122662,0.004620837905718557
matrisome_pca9,matrisome_pca,pca9,ft_transformer_lite,tissue,5,9.0,0.9505984211866565,0.00458648018433182,0.9442545647427784,0.007573092305587722,0.9315749201745733,0.008760295197861315,0.9513420081506169,0.004628923167769822
curated_9_ecm_programs,curated_ecm,gene_set_scores,ft_transformer_lite,tissue,5,9.0,0.9135217723453017,0.005422493161886909,0.9051985825028964,0.00915082294649403,0.8816015516179808,0.0080760376458735,0.916578382730005,0.004688734669064838
