source,destination,status,size_mb,sha256,reason
E:\Projects\ECM\ecm_latent_space\src\build_tabula_sapiens_pseudobulk_ecm_programs.py,E:\Projects\ECM\ecm-program-atlas\pipelines\09_run_tabula_sapiens_pseudobulk.py,copied,0.0214,3fcbed1189525b477e07908d6ab0113789f14cc990351067425c836db06b3def,
E:\Projects\ECM\ecm_latent_space\src\analyze_tabula_sapiens_ecm_program_sources.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\analyze_tabula_sapiens_ecm_program_sources.py,copied,0.0148,52919af4cdae1cdf61e9ad133634932911a5a99d14f230d2d343321e1f82d764,
E:\Projects\ECM\ecm_latent_space\src\finalize_tabula_sapiens_route_b.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\finalize_tabula_sapiens_route_b.py,copied,0.0139,3e0dfd1c6f1256447d96fdb65cbc7258e9753aaebaf6dbf6cb6c39d0ac8ad386,
E:\Projects\ECM\ecm_latent_space\src\build_final_results_package_v0_5.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\build_final_results_package_v0_5.py,copied,0.0103,8cfdd108c82c407e0ba3375136c04adc53a7835f4ba30d6f2d2d2ed417c45479,
E:\Projects\ECM\ecm_latent_space\src\rank_based_ecm_program_scoring.py,E:\Projects\ECM\ecm-program-atlas\pipelines\10_run_rank_based_scoring.py,copied,0.0231,cb33353aa880188c8e947d664eea3ca4db06cc0ef04fb5b7abc8f856d55befef,
E:\Projects\ECM\ecm_latent_space\src\build_final_results_package_v0_6.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\build_final_results_package_v0_6.py,copied,0.0102,84f8a1353725cf95445e375ed021441c3472fd221b18d11cbceb60e00d10dd0c,
E:\Projects\ECM\ecm_latent_space\src\revision_nmf_rank_stability_analysis.py,E:\Projects\ECM\ecm-program-atlas\pipelines\11_run_nmf_stability_analysis.py,missing,,,source file does not exist
E:\Projects\ECM\ecm_latent_space\outputs\final_results_v0.1\reports\final_results_v0.1_summary.md,E:\Projects\ECM\ecm-program-atlas\results\reports\frozen\final_results_v0.1_summary.md,copied,0.0036,804f775160a7ec478144df596b81d2106cd7298305811c2567fa5f45de43230c,
E:\Projects\ECM\ecm_latent_space\outputs\final_results_v0.2\reports\final_results_v0.2_summary.md,E:\Projects\ECM\ecm-program-atlas\results\reports\frozen\final_results_v0.2_summary.md,copied,0.0027,51dfb1aab32c24ebf65d91c1b9b458d667c9e6852161e234b544f2f8fc000e82,
E:\Projects\ECM\ecm_latent_space\outputs\final_results_v0.4\reports\final_results_v0.4_summary.md,E:\Projects\ECM\ecm-program-atlas\results\reports\frozen\final_results_v0.4_summary.md,copied,0.0029,9282cc2808ee49714693899d88f2c94a605903363d9a50e5aee4e97b17dbe408,
